NEXT MATCHES RESULTS STANDINGS#7.3 1.9 1.9 ( )
2015 2014 2013 2012 2011 2010 2009 2008 2007 2006#7.3 1.9 1.9 ( )
MLB 2014 Results & Historical Odds#7.3 1.9 1.9 ( )
We have noticed that you may be located in a different time zone. You may want to#7.3 1.9 1.9 ( )
change the time zone here to GMT +9 or click the time zone selector at the top right#7.3 1.9 1.9 ( )
corner.#7.3 1.9 1.9 ( )
MLB 2014#7.3 1.9 1.9 ( )
13 Sep 2014 1 2 B's#7.3 1.9 1.9 ( )
00:05 Texas Rangers - Los Angeles Angels 1:8 2.64 1.52 13#9.5 1.9 1.94 (0:2, 0:0, 0:0, 0:0, 0:1, 0:0, 1:1, 0:3, 0:1)
10 Sep 2014 1 2 B's#7.3 1.9 1.9 ( )
23:10 Cincinnati Reds - St.Louis Cardinals 4:2 2.19 1.73 12#8.5 1.77 2.02 (1:2, 1:0, 0:0, 1:0, 1:0, 0:0, 0:0, 0:0, X:0)
23:10 New York Mets - Colorado Rockies 2:0 1.80 2.07 13#6.5 2.02 1.78 (0:0, 1:0, 0:0, 0:0, 0:0, 0:0, 1:0, 0:0, X:0)
23:08 Detroit Tigers - Kansas City Royals 0:3 1.88 1.98 13#8.5 1.91 1.93 (0:0, 0:0, 0:0, 0:2, 0:0, 0:0, 0:0, 0:0, 0:1)
23:07 Toronto Blue Jays - Chicago Cubs 11:1 1.55 2.55 13#7.5 2.02 1.78 (0:0, 0:0, 1:0, 0:0, 0:0, 3:0, 5:1, 2:0, X:0)
23:05 New York Yankees - Tampa Bay Rays 8:5 1.90 1.96 13#7.5 1.82 2.02 (1:4, 0:0, 2:0, 1:0, 2:0, 0:0, 0:0, 2:0, X:1)
23:05 Philadelphia Phillies - Pittsburgh Pirates 3:6 2.28 1.67 13#8.5 1.81 2.0 (0:2, 1:0, 0:0, 2:0, 0:2, 0:2, 0:0, 0:0, 0:0)
20:05 Washington Nationals - Atlanta Braves 2:6 1.52 2.64 13#7.5 1.68 2.17 (0:0, 0:0, 0:0, 0:0, 1:1, 0:2, 0:3, 0:0, 1:0)
17:35 Boston Red Sox - Baltimore Orioles 6:10 2.21 1.71 13#8.5 1.88 1.97 (0:0, 0:0, 0:6, 0:0, 0:2, 0:0, 1:0, 0:0, 5:2)
02:15 San Francisco Giants - Arizona Diamondbacks 5:1 1.61 2.42 13#6.5 1.81 2.04 (1:0, 2:0, 0:0, 0:1, 0:0, 2:0, 0:0, 0:0, X:0)
